scenario_name,bus_id,bus_name,latitude,longitude,binding_frequency_beta,mean_kappa,min_kappa,BESS_GFM_GW,GFM_strength_installed,GFL_exposure_peak,RES_GW,note
gSCR-GERSH-1p0-INTEGER,27,ME1 0,,,0.0,259.5,259.5,0.0,484.5,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,28,MK1 0,,,0.0,150.0,150.0,0.0,300.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,29,NL1 0,,,0.0,25128.035714285714,25115.0,0.0,50180.0,16700.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,30,NO2 0,,,0.0,6593.633928571428,6488.5,0.0,11528.5,3350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,31,PL1 0,,,0.0,15333.767857142857,15321.0,0.0,30561.0,10150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,32,PT1 0,,,0.0,9799.0,9799.0,0.0,19249.0,6300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,33,RO1 0,,,0.0,6961.6577380952385,6922.0,0.0,13512.0,4350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,34,RS1 0,,,0.0,769.0,769.0,0.0,1369.0,400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,35,SE2 0,,,0.0,17251.380952380954,17184.0,0.0,33839.0,11050.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,36,SI1 0,,,0.0,574.1517857142857,507.5,0.0,1037.5,300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,37,SK1 0,,,0.0,1094.857142857143,1082.0,0.0,1997.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,1,AL1 0,,,0.0,161.5,161.5,0.0,236.5,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,2,AT1 0,,,0.0,8742.0,8742.0,0.0,16842.0,5400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,3,BA1 0,,,0.0,245.0,245.0,0.0,395.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,4,BE1 0,,,0.0,15528.514880952382,15513.5,0.0,30981.0,10300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,5,BG1 0,,,0.0,2828.5,2828.5,0.0,5453.5,1750.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,6,CH1 0,,,0.0,5523.5,5523.5,0.0,10023.5,3000.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,7,CZ1 0,,,0.0,3690.9464285714284,3678.0,0.0,7218.0,2350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,8,DE1 0,,,0.0,173997.01041666666,173985.5,0.0,347493.0,115650.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,9,DK1 0,,,0.0,9088.794642857143,9075.0,0.0,18165.0,6050.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,10,DK2 0,,,0.0,1952.202380952381,1950.0,0.0,3917.5,1300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,11,EE6 0,,,0.0,600.0,600.0,0.0,1200.0,400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,12,ES1 0,,,0.0,59087.520833333336,59022.0,0.0,116927.0,38550.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,13,ES4 0,,,0.0,537.7232142857143,525.0,0.0,1065.0,350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,14,FI2 0,,,0.0,5801.700892857143,5751.5,0.0,11356.5,3700.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,15,FR1 0,,,0.0,44472.02976190476,44457.0,0.0,87677.0,28800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,16,GB0 0,,,0.0,53342.369047619046,53328.5,0.0,106146.0,35200.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,17,GB5 0,,,0.0,3766.25,3752.5,0.0,7517.5,2500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,18,GR1 0,,,0.0,11118.17857142857,11113.0,0.0,22078.0,7300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,19,HR1 0,,,0.0,1320.857142857143,1313.0,0.0,2528.0,800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,20,HU1 0,,,0.0,3447.2946428571427,3443.5,0.0,6833.5,2250.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,21,IE5 0,,,0.0,6638.660714285715,6625.0,0.0,13240.0,4400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,22,IT1 0,,,0.0,44562.989583333336,44549.5,0.0,88202.0,29090.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,23,IT3 0,,,0.0,5270.059523809524,5265.0,0.0,10532.5,3500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,24,LT6 0,,,0.0,965.0,965.0,0.0,1865.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,25,LU1 0,,,0.0,807.3809523809524,805.0,0.0,1482.5,450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,26,LV6 0,,,0.0,240.0,240.0,0.0,390.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,27,ME1 0,,,0.0,259.5,259.5,0.0,484.5,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,28,MK1 0,,,0.0,150.0,150.0,0.0,300.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,29,NL1 0,,,0.0,25128.79464285714,25115.0,0.0,50180.0,16700.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,30,NO2 0,,,0.0,7658.142857142857,6488.5,0.0,11528.5,3350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,31,PL1 0,,,0.0,15335.107142857143,15321.0,0.0,30561.0,10150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,32,PT1 0,,,0.0,9799.669642857143,9799.0,0.0,19264.0,6300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,33,RO1 0,,,0.0,6987.0,6987.0,0.0,13512.0,4350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,34,RS1 0,,,0.0,769.0,769.0,0.0,1369.0,400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,35,SE2 0,,,0.0,17256.529761904763,17184.0,0.0,33839.0,11050.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,36,SI1 0,,,0.0,582.0982142857143,572.5,0.0,1037.5,300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,37,SK1 0,,,0.0,1097.0,1097.0,0.0,1997.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
