snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
71.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
72.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
73.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
74.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
75.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
76.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
77.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
78.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
79.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
80.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
81.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
82.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
83.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
84.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
85.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
86.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
87.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
88.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
89.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
90.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
91.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
