scenario_name,t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_r_t,min_local_kappa,median_local_kappa,number_binding_nodes,number_violating_nodes_if_any,total_GFL_exposure,total_GFM_strength
BASE-INTEGER,105.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,106.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,107.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,108.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,109.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,110.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,111.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,112.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,113.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,114.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,115.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,116.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,117.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,118.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,119.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,120.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,121.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,122.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,123.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,124.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,125.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,126.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,127.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,128.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,129.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,130.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,131.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,132.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,133.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,134.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,135.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,136.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,137.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,138.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,139.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,140.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,141.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,142.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,143.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,144.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,145.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,146.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,147.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,148.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,149.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,150.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,151.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,152.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,153.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,154.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,155.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,156.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
