snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
87.0,-1.5176574583869394e-13,-1.5176574583869394e-13,1.4999999999999998,-1.4802973661668753e-16,-9.094947017729282e-13,0.0,31.0,23.0,0.0,37728.571166545575,63249.47807920664,-6.063298011819521e-13,9.092726571680032e-13
88.0,-1.8435750580845442e-13,-1.8435750580845442e-13,1.499999999999999,-7.401486830834377e-16,-4.547473508864641e-13,0.0,33.0,22.0,0.0,36631.821564683065,63249.47807920664,-3.0316490059097606e-13,4.5363712786183896e-13
89.0,-1.1088997939846327e-13,-1.1088997939846327e-13,1.5,0.0,-9.094947017729282e-13,0.0,31.0,22.0,0.0,35132.91016767249,63249.47807920664,-6.063298011819521e-13,9.094947017729282e-13
90.0,-1.386365314055008e-13,-1.386365314055008e-13,1.499999999999999,-7.401486830834377e-16,-4.547473508864641e-13,0.0,31.0,25.0,0.0,40211.94950538312,63249.47807920664,-3.0316490059097606e-13,4.5363712786183896e-13
91.0,-3.0565605178476554e-13,-3.0565605178476554e-13,1.4999999999999993,-4.440892098500626e-16,-9.094947017729282e-13,0.0,31.0,25.0,0.0,39914.591774568704,63249.47807920664,-6.063298011819521e-13,9.088285679581531e-13
92.0,-3.3069780423783494e-13,-3.3069780423783494e-13,1.5000000000000002,1.4802973661668753e-16,-2.2737367544323206e-13,0.0,20.0,24.0,0.0,38315.57116654557,63249.47807920664,-1.5158245029548803e-13,2.275957200481571e-13
93.0,-1.7986284834800852e-13,-1.7986284834800852e-13,1.5000000000000004,2.9605947323337506e-16,-9.094947017729282e-13,0.0,31.0,21.0,0.0,35525.44234071162,63249.47807920664,-6.063298011819521e-13,9.099387909827783e-13
94.0,-4.152386564309397e-13,-4.152386564309397e-13,1.4999999999999993,-4.440892098500626e-16,-4.547473508864641e-13,2.2737367544323206e-13,33.0,19.0,0.0,34622.14644593997,63249.47807920664,-3.0316490059097606e-13,4.54081217071689e-13
95.0,-2.2288881079402858e-13,-2.2288881079402858e-13,1.5000000000000009,5.921189464667501e-16,-9.094947017729282e-13,0.0,31.0,19.0,0.0,33666.465306018275,63249.47807920664,-6.063298011819521e-13,9.103828801926284e-13
96.0,-1.3355328936774686e-13,-1.3355328936774686e-13,1.5,0.0,-2.2737367544323206e-13,86.55000000000001,20.0,17.0,0.0,32686.645074712087,63249.47807920664,-1.5158245029548803e-13,2.2737367544323206e-13
97.0,-3.4237903043904377e-13,-3.4237903043904377e-13,1.4999999999999987,-8.881784197001252e-16,-9.094947017729282e-13,35.773503972210904,31.0,18.0,0.0,32360.15850945243,63249.47807920664,-6.063298011819521e-13,9.08162434143378e-13
98.0,-1.4615570518384409e-13,-1.4615570518384409e-13,1.4999999999999998,-1.4802973661668753e-16,-2.2737367544323206e-13,35.773503972210904,20.0,18.0,0.0,31527.49714232681,63249.47807920664,-1.5158245029548803e-13,2.2715163083830703e-13
99.0,-4.962038770724219e-13,-4.962038770724219e-13,1.4999999999999996,-2.9605947323337506e-16,-9.094947017729282e-13,81.15159913886816,31.0,17.0,0.0,28794.23223710999,63249.47807920664,-6.063298011819521e-13,9.090506125630782e-13
100.0,-3.186547537619624e-13,-3.186547537619624e-13,1.4999999999999998,-1.4802973661668753e-16,-9.094947017729282e-13,35.773503972210904,31.0,18.0,0.0,32360.15850945243,63249.47807920664,-6.063298011819521e-13,9.092726571680032e-13
101.0,2.6264653401152906e-14,2.6264653401152906e-14,1.5,0.0,-9.094947017729282e-13,35.773503972210904,31.0,18.0,0.0,32673.02088753687,63249.47807920664,-6.063298011819521e-13,9.094947017729282e-13
102.0,-3.66056084193314e-13,-3.66056084193314e-13,1.5000000000000002,1.4802973661668753e-16,-9.094947017729282e-13,0.0,31.0,19.0,0.0,33638.597780089345,63249.47807920664,-6.063298011819521e-13,9.097167463778533e-13
103.0,-1.5176574583869394e-13,-1.5176574583869394e-13,1.4999999999999991,-5.921189464667501e-16,-9.094947017729282e-13,0.0,31.0,23.0,0.0,37728.57116654564,63249.47807920673,-6.063298011819521e-13,9.086065233532281e-13
104.0,-2.373382509181996e-13,-2.373382509181996e-13,1.5,0.0,-4.547473508864641e-13,0.0,33.0,23.0,0.0,37728.57116654563,63249.478079206725,-3.0316490059097606e-13,4.547473508864641e-13
