snapshot,online_gfm_strength,online_gfl_exposure
262.0,15384.934283022494,661.5187542048149
263.0,15384.934283022494,596.1131922536431
264.0,15384.934283022494,581.3530997561694
265.0,15384.934283022494,629.8301451972322
266.0,15385.170467834412,610.2519192392019
267.0,15385.170467834412,604.1845604257575
268.0,15385.170467834412,634.5067239127427
269.0,15385.170467834412,586.01967847168
270.0,15385.170467834412,658.2093169117925
271.0,15385.170467834412,685.1573559354092
272.0,15385.170467834412,700.5574407704105
273.0,15385.170467834412,700.0810422022299
274.0,15385.170467834412,714.3880202809662
275.0,15385.170467834412,736.8750657220289
276.0,15385.170467834412,729.8750657220291
277.0,15385.170467834412,694.3880202809664
278.0,15385.170467834412,693.3880202809664
279.0,15385.170467834412,694.3980202809664
280.0,15385.170467834412,648.3828854714542
281.0,15385.170467834414,712.8575566512826
282.0,15385.170467834412,717.8750657220291
283.0,15385.190064552575,758.9265035744269
284.0,15385.190776612963,693.965004103374
285.0,15385.190776612963,667.405004103374
286.0,15385.190776612963,678.3262735933363
287.0,15385.190776612963,590.95736521056
288.0,15385.310903534191,655.5477331193963
289.0,15385.310903534191,644.6714429594622
290.0,15385.310903534191,618.1516672192365
291.0,15385.310903534191,634.5477331193963
292.0,15385.636153910042,578.6272678164432
293.0,15385.636153910042,612.1257377535035
294.0,15385.636153910042,665.4766516383609
295.0,15385.636153910042,699.1458690657117
296.0,15385.636153910042,710.0343384253003
297.0,15385.755064799907,729.1697891359028
298.0,15385.755064799907,733.0049071818252
299.0,15385.755064799907,667.6896199693481
300.0,15385.755064799907,714.5178617407626
301.0,15385.755064799907,726.0049071818253
302.0,15385.755064799905,701.1198560849017
303.0,15386.014015461831,693.5696518731476
304.0,15386.014015461831,675.6841013064288
305.0,15386.014015461831,723.5969561767209
306.0,15395.227368432787,692.9499771843191
307.0,15398.097314443887,751.7851421338564
308.0,15398.097314443887,715.29445337367
309.0,15398.097314443885,717.9308472712011
310.0,15398.02102669508,665.4133860616664
311.0,15398.021026695093,605.8314525694611
312.0,15398.021026695093,656.4963894129605
313.0,15398.021026695093,592.5484576643798
314.0,15398.021026695093,656.4963894129604
315.0,15398.021026695093,635.5063894129604
316.0,15398.021026695093,616.8599955154293
317.0,15398.021026695093,664.0294752841061
318.0,15398.021026695093,660.7819617305605
319.0,15398.021026695093,587.5522690050856
320.0,15398.021026695093,700.5481722444127
321.0,15398.021026695093,737.8647312222466
322.0,15398.021026695093,703.9425710923049
323.0,15398.021026695093,733.6724640116505
324.0,15398.021026695093,726.8647312222466
325.0,15398.021026695093,726.8647312222466
326.0,15398.021026695093,688.9492416677851
327.0,15398.021026695087,679.2630516936445
328.0,15398.021026695093,679.1575439441613
329.0,15398.021026695093,723.3942218677802
330.0,15398.021026695093,706.2283373247155
331.0,15398.02102669509,745.982381952284
332.0,15398.021026695093,728.8747312222466
333.0,15398.021026695093,695.5053612601185
334.0,15398.021026695093,696.2383373247155
335.0,15398.021026695093,700.039475284106
336.0,15398.021026695093,688.1092858051012
