scenario_name,bus_id,bus_name,latitude,longitude,binding_frequency_beta,mean_kappa,min_kappa,BESS_GFM_GW,GFM_strength_installed,GFL_exposure_peak,RES_GW,note
BASE,1,AL1 0,,,0.0,11.500000000000009,11.500000000000014,0.0,86.5,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,2,AT1 0,,,0.9970238095238095,-819.2273331405513,-833.6854817082547,16.30741926833019,1667.3709634165095,1667.3709634165095,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,16,GB0 0,,,0.9970238095238095,-1640.9183566315173,-1670.1616120941812,15.336464483767259,3340.323224188363,3340.323224188363,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,14,FI2 0,,,0.9910714285714286,-687.1050071643434,-704.2082120049838,19.738328480199357,1408.4164240099678,1408.4164240099678,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,15,FR1 0,,,0.9880952380952381,-1966.0179927050451,-2046.2191795209633,14.908767180838533,4092.4383590419266,4092.4383590419266,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,35,SE2 0,,,0.9880952380952381,-837.3661585879241,-862.4603862576714,13.618415450306856,1724.9207725153428,1724.9207725153428,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,6,CH1 0,,,0.9851190476190477,-883.7486469715238,-924.6799553458488,14.917198213833954,1849.3599106916975,1849.3599106916975,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,12,ES1 0,,,0.9821428571428571,-927.2645192596768,-980.3495708294031,0.0,1960.6991416588062,1960.6991416588062,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,23,IT3 0,,,0.9821428571428571,-515.2203086617212,-539.7716369761906,20.640865479047626,1079.5432739523812,1079.5432739523812,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,8,DE1 0,,,0.9761904761904762,-1315.8913107888595,-1384.0120957957342,14.300483831829357,2768.0241915914676,2768.0241915914676,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,31,PL1 0,,,0.9732142857142857,-716.5980729425211,-766.8979703029984,26.655918812119936,1533.795940605997,1533.795940605997,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,4,BE1 0,,,0.9434523809523809,-624.5258406840369,-688.5076134139033,21.520304536556125,1377.0152268278064,1377.0152268278064,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,22,IT1 0,,,0.9404761904761905,-1393.3554441297451,-1689.1302968460045,9.825211873840171,3378.2605936920086,3378.2605936920086,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,7,CZ1 0,,,0.9375,-481.328075532516,-591.7725070206386,17.110900280825543,1183.545014041277,1183.545014041277,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,33,RO1 0,,,0.8958333333333334,-423.3350186162648,-610.5789734810562,15.18315893924225,1221.1579469621124,1221.1579469621124,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,20,HU1 0,,,0.8928571428571429,-328.37070446991976,-479.26697640232055,16.300679056092825,958.5339528046412,958.5339528046411,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,18,GR1 0,,,0.6785714285714286,-30.436030773392044,-603.6424210409566,16.985696841638266,1207.2848420819132,1207.2848420819132,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,21,IE5 0,,,0.5952380952380952,99.01990095091655,-459.19392904059157,13.66775716162366,918.387858081183,918.387858081183,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,29,NL1 0,,,0.5148809523809523,341.7426428786667,-797.4169532064057,20.996678128256224,1594.8339064128113,1594.8339064128113,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,30,NO2 0,,,0.4851190476190476,501.85305108621367,-921.4351101910797,7.28740440764319,1842.8702203821595,1842.8702203821595,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,9,DK1 0,,,0.27380952380952384,615.8541363359267,-525.7736453178493,20.630945812713975,1051.5472906356988,1051.5472906356988,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,5,BG1 0,,,0.22916666666666666,597.5265010241434,-449.66630362034266,13.916652144813709,899.3326072406853,899.3326072406853,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,19,HR1 0,,,0.16666666666666666,492.8546623266466,-329.76268561883035,10.630507424753214,659.5253712376607,659.5253712376607,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,17,GB5 0,,,0.08333333333333333,737.7624094362747,-436.99755253284025,16.5299021013136,873.99510506568,873.9951050656801,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,32,PT1 0,,,0.0744047619047619,410.1562622173534,-230.8174649743426,0.0,461.6349299486853,461.6349299486853,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,24,LT6 0,,,0.07142857142857142,541.0863116925885,-300.0,10.1,600.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,10,DK2 0,,,0.047619047619047616,634.3627660577926,-349.9089101479851,13.3463564059194,699.81782029597,699.81782029597,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,37,SK1 0,,,0.044642857142857144,560.9595034606007,-300.0,7.760000000000001,600.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,11,EE6 0,,,0.041666666666666664,378.57142857142856,-200.0,8.0,400.0,400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,34,RS1 0,,,0.03571428571428571,380.12774852876413,-200.0,4.620000000000001,400.00000000000006,400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,1,AL1 0,,,0.020833333333333332,83.72477678571424,-43.275000000000006,0.001,86.55,86.55000000000001,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,36,SI1 0,,,0.017857142857142856,292.85714285714283,-150.0,3.25,300.0,300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,27,ME1 0,,,0.01488095238095238,146.65178571428572,-75.0,2.31,150.0,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,25,LU1 0,,,0.011904761904761904,424.7767857142857,-225.0,6.35,450.0,450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,3,BA1 0,,,0.005952380952380952,95.76941964285726,-48.87916666666665,0.05516666666666667,97.75833333333334,97.75833333333333,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,26,LV6 0,,,0.005952380952380952,117.99464285714298,-60.02499999999999,0.001,120.05,120.05,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,28,MK1 0,,,0.005952380952380952,89.50892857142857,-50.0,2.0,100.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0,13,ES4 0,,,0.002976190476190476,42.44823473590587,-21.448835874963656,0.0,42.897671749927305,42.897671749927305,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,15,FR1 0,,,1.0,8.120488408686859e-15,0.0,22.845902922676704,4489.295146133835,2992.86343075589,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,18,GR1 0,,,1.0,-2.4361465226060576e-14,-4.547473508864641e-13,40.10183314009429,2363.0916570047148,1575.3944380031433,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,4,BE1 0,,,0.9940476190476191,1.7142857142857157,0.0,50.52671526878539,2827.335763439269,1884.8905089595128,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,16,GB0 0,,,0.9940476190476191,16.739333994287417,-9.094947017729282e-13,34.51857815128285,4299.428907564143,2866.285938376095,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,14,FI2 0,,,0.9910714285714286,1.3221204560429547,-2.2737367544323206e-13,28.396064162736497,1841.3032081368249,1227.5354720912167,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,35,SE2 0,,,0.9910714285714286,14.873069955151667,-4.547473508864641e-13,24.851317366287184,2286.5658683143592,1524.3772455429062,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,2,AT1 0,,,0.9821428571428571,35.58572595068533,0.0,38.2601175078337,2765.0058753916846,1843.337250261123,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,8,DE1 0,,,0.9821428571428571,60.23315743141801,0.0,26.84918169259349,3395.4590846296746,2263.639389753116,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,29,NL1 0,,,0.9791666666666666,46.509879845576314,-4.547473508864641e-13,33.75515329077025,2232.7576645385125,1488.5051096923416,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,12,ES1 0,,,0.9761904761904762,46.98230519137903,-2.2737367544323206e-13,0.0,1978.7006270091267,1319.1337513394178,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,9,DK1 0,,,0.9672619047619048,62.04864131418498,0.0,38.6,1950.0,1300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,23,IT3 0,,,0.9613095238095238,9.355633986935283,-2.2737367544323206e-13,35.1292680755675,1803.963403778375,1202.6422691855835,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,6,CH1 0,,,0.9583333333333334,82.50106020130417,-4.547473508864641e-13,33.23871412003937,2765.4357060019684,1843.6238040013122,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,33,RO1 0,,,0.9553571428571429,46.17311225582293,-4.547473508864641e-13,43.01267706888373,2612.633853444187,1741.7559022961245,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,20,HU1 0,,,0.9523809523809523,57.162343238216714,-2.2737367544323206e-13,36.373334442235205,1962.16672211176,1308.1111480745067,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,31,PL1 0,,,0.9375,202.08773340797822,-9.094947017729282e-13,62.345216302733604,3318.2608151366803,2212.173876757787,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,22,IT1 0,,,0.9136904761904762,342.4748777825883,-9.094947017729282e-13,29.55703407196751,4364.851703598376,2909.9011357322506,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,7,CZ1 0,,,0.9107142857142857,149.70481535956148,-2.2737367544323206e-13,31.935027836706617,1924.7513918353307,1283.1675945568873,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,5,BG1 0,,,0.875,156.65805776114064,-2.2737367544323206e-13,24.897306776574382,1448.3653388287191,965.5768925524794,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,17,GB5 0,,,0.6369047619047619,500.94210275642683,-4.547473508864641e-13,38.38675098551815,1966.8375492759073,1311.225032850605,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,30,NO2 0,,,0.4851190476190476,1101.8356820777205,0.0,13.229628806718392,2139.9814403359196,1426.6542935572797,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,19,HR1 0,,,0.4494047619047619,474.50714511254444,-1.1368683772161603e-13,14.856132921692796,870.8066460846399,580.5377640564266,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,21,IE5 0,,,0.4107142857142857,1003.8897089919509,-2.2737367544323206e-13,29.651526810341075,1717.5763405170537,1145.0508936780357,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,10,DK2 0,,,0.2261904761904762,705.2826574234126,0.0,22.644235968300254,1164.7117984150127,776.4745322766751,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,24,LT6 0,,,0.13392857142857142,611.0892005042448,0.0,13.126968017222639,751.348400861132,500.8989339074213,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,32,PT1 0,,,0.026785714285714284,475.59124968323454,-5.684341886080802e-14,0.0,490.5194146884111,327.0129431255315,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,34,RS1 0,,,0.023809523809523808,508.097186742681,0.0,7.0670567829192805,522.352839145964,348.23522609730935,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,36,SI1 0,,,0.01488095238095238,369.41964285714283,0.0,4.75,375.0,250.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,27,ME1 0,,,0.011904761904761904,147.09821428571428,0.0,2.31,150.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,37,SK1 0,,,0.008928571428571428,811.0692852544221,0.0,13.76,900.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,1,AL1 0,,,0.005952380952380952,85.90089285714281,0.0,0.001,86.55,57.7,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,3,BA1 0,,,0.005952380952380952,148.66071428571428,0.0,1.1,150.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,11,EE6 0,,,0.005952380952380952,512.869446763041,0.0,10.623031982777363,531.1515991388682,354.1010660925788,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,25,LU1 0,,,0.005952380952380952,652.6785714285714,0.0,10.85,675.0,450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,26,LV6 0,,,0.005952380952380952,139.02535149244517,0.0,0.6,150.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,28,MK1 0,,,0.005952380952380952,143.46467809288612,0.0,3.0,150.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5,13,ES4 0,,,0.002976190476190476,35.66703521038886,0.0,0.0,35.773503972211294,23.8490026481406,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
