H,b_block,candidate_added_by_converter,candidate_export_compatibility,candidate_export_table,candidate_kind,candidate_sizing_policy,carrier,charge_efficiency,charge_rating,cost_inv_block,discharge_efficiency,discharge_rating,e_block,energy,energy_clamped,energy_policy,energy_policy_reason,energy_rating,energy_raw,gscr_rhs_uses_nameplate,id,index,marginal_cost,n_block0,n_block_max,na0,na0_corrected,na0_correction_policy,name,p_block_max,p_block_max_pu,p_block_min,p_block_min_pu,ps,q_block_max,q_block_min,qs,shutdown_block_cost,startup_block_cost,status,storage_bus,type,x_gfm
3.5,7.5,,,,,,PHS,0.8660254037844386,614.0,2.6601782492922958e7,0.8660254037844386,614.0,26777.67608898595,307.0,false,clamp,,107110.7043559438,307.0,true,45,45,0.0,4,4,1.0,false,clip_na0_to_n0,RS1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,34,gfm,
3.7,1.0,,,,,,hydro,0.0,790.1,3.5469043323897272e6,0.9,790.1,220867.07954364823,395.05,false,clamp,,8.613816102202281e6,395.05,true,46,46,0.0,39,39,1.0,false,clip_na0_to_n0,RS1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,34,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,92.0,2.6601782492922958e7,0.8660254037844386,92.0,26777.67608898595,46.0,false,clamp,,26777.67608898595,46.0,true,47,47,0.0,1,1,1.0,false,clip_na0_to_n0,SE2 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,35,gfm,
3.7,1.0,,,,,,hydro,0.0,10784.18662493251,3.5469043323897272e6,0.9,10784.18662493251,220867.07954364823,5392.093312466255,false,clamp,,1.190473558740264e8,5392.093312466255,true,48,48,0.0,539,539,1.0,false,clip_na0_to_n0,SE2 0 hydro,20.0,0.9999999999999999,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,35,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,180.0,2.6601782492922958e7,0.8660254037844386,180.0,26777.67608898595,90.0,false,clamp,,26777.67608898595,90.0,true,49,49,0.0,1,1,1.0,false,clip_na0_to_n0,SI1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,36,gfm,
3.7,1.0,,,,,,hydro,0.0,118.0,3.5469043323897272e6,0.9,118.0,220867.07954364823,59.0,false,clamp,,1.1043353977182412e6,59.0,true,50,50,0.0,5,5,1.0,false,clip_na0_to_n0,SI1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,36,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,822.453,2.6601782492922958e7,0.8660254037844386,822.453,26777.67608898595,411.2265,false,clamp,,133888.38044492976,411.2265,true,51,51,0.0,5,5,1.0,false,clip_na0_to_n0,SK1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,37,gfm,
3.7,1.0,,,,,,hydro,0.0,241.9,3.5469043323897272e6,0.9,241.9,220867.07954364823,120.95,false,clamp,,2.6504049545237785e6,120.95,true,52,52,0.0,12,12,1.0,false,clip_na0_to_n0,SK1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,37,gfm,
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,53,53,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_al1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,1,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,54,54,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_al1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,1,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,55,55,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_at1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,2,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,56,56,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_at1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,2,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,57,57,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_ba1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,3,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,58,58,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_ba1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,3,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,59,59,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_be1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,4,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,60,60,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_be1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,4,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,61,61,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_bg1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,5,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,62,62,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_bg1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,5,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,63,63,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_ch1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,6,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,64,64,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_ch1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,6,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,65,65,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_cz1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,7,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,66,66,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_cz1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,7,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,67,67,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_de1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,8,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,68,68,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_de1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,8,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,69,69,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_dk1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,9,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,70,70,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_dk1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,9,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,71,71,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_dk2_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,10,gfl,0.0
