H,b_block,carrier,cost_inv_block,gen_bus,gen_status,gscr_rhs_uses_nameplate,id,index,marginal_cost,n_block0,n_block_max,na0,na0_corrected,na0_correction_policy,name,p_block_max,p_block_max_pu,p_block_min,p_block_min_pu,pg,pmax,pmin,q_block_max,q_block_min,qg,qmax,qmin,shutdown_block_cost,startup_block_cost,type
0.0,0.0,solar,1.7801035621902226e6,6,1,true,42,42,0.010000000000000002,59,2501,1.0,false,clip_na0_to_n0,CH1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
4.0,15.0,CCGT,2.970831878794573e7,7,1,true,43,43,42.246743185547565,3,3,1.0,false,clip_na0_to_n0,CZ1 0 CCGT,300.0,1.0,150.0,0.45,0.0,986.9,444.105,150.0,-150.0,0.0,986.9,-986.9,0.0,16.5,gfm
4.0,15.0,OCGT,1.352863245453675e7,7,1,true,44,44,53.39878480712948,0,0,0.0,true,clip_na0_to_n0,CZ1 0 OCGT,300.0,1.0,150.0,0.2,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,21.0,gfm
3.8,22.5,lignite,1.574894491334357e8,7,1,true,45,45,12.196852247850154,8,8,1.0,false,clip_na0_to_n0,CZ1 0 lignite,450.0,1.0,270.0,0.4,0.0,3631.386834617864,1452.5547338471458,225.0,-225.0,0.0,3631.386834617864,-3631.386834617864,0.0,45.0,gfm
5.9,65.0,nuclear,9.188044017996469e8,7,1,true,46,46,11.378787878787877,3,3,1.0,false,clip_na0_to_n0,CZ1 0 nuclear,1300.0,0.827,520.0,0.5,0.0,3547.83,2145.0,650.0,-650.0,0.0,3547.83,-3547.83,0.0,260.0,gfm
0.0,0.0,onwind,4.804294400998315e6,7,1,true,47,47,0.015000000000000001,6,2082,1.0,false,clip_na0_to_n0,CZ1 0 onwind,50.0,0.04530315809829225,0.0,0.0,0.0,15.376344890141375,0.0,0.0,0.0,0.0,15.376344890141375,-15.376344890141375,0.0,0.0,gfl
2.7,2.5,ror,1.4957011246461473e7,7,1,true,48,48,0.0,1,1,1.0,false,clip_na0_to_n0,CZ1 0 ror,50.0,0.4992132888822639,15.0,0.0,0.0,20.081544593588713,0.0,25.0,-25.0,0.0,20.081544593588713,-20.081544593588713,0.0,0.0,gfm
0.0,0.0,solar,1.7801035621902226e6,7,1,true,49,49,0.010000000000000002,41,4189,1.0,false,clip_na0_to_n0,CZ1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
4.0,15.0,CCGT,2.970831878794573e7,8,1,true,50,50,42.246743185547565,77,77,1.0,false,clip_na0_to_n0,DE1 0 CCGT,300.0,1.0,150.0,0.45,0.0,23229.9915,10453.496175,150.0,-150.0,0.0,23229.9915,-23229.9915,0.0,16.5,gfm
4.0,15.0,OCGT,1.352863245453675e7,8,1,true,51,51,53.39878480712948,1,1,1.0,false,clip_na0_to_n0,DE1 0 OCGT,300.0,1.0,150.0,0.2,0.0,47.15,9.43,150.0,-150.0,0.0,47.15,-47.15,0.0,21.0,gfm
3.3,2.5,biomass,1.3904153267802231e7,8,1,true,52,52,14.893617021276603,149,149,1.0,false,clip_na0_to_n0,DE1 0 biomass,50.0,0.9999999999999999,25.0,0.0,0.0,7475.005488,0.0,25.0,-25.0,0.0,7475.005488,-7475.005488,0.0,3.5,gfm
4.2,15.0,coal,1.0499296608895715e8,8,1,true,53,53,28.196531007679717,29,29,1.0,false,clip_na0_to_n0,DE1 0 coal,300.0,1.0,120.0,0.325,0.0,8956.617533011238,2910.9006982286523,150.0,-150.0,0.0,8956.617533011238,-8956.617533011238,0.0,30.0,gfm
3.8,22.5,lignite,1.574894491334357e8,8,1,true,54,54,12.196852247850154,46,46,1.0,false,clip_na0_to_n0,DE1 0 lignite,450.0,0.9999999999999999,270.0,0.4,0.0,21009.752827919423,8403.901131167771,225.0,-225.0,0.0,21009.752827919423,-21009.752827919423,0.0,45.0,gfm
0.0,0.0,offwind-ac,1.8938226140537657e7,8,1,true,55,55,0.015000000000000005,10,41,1.0,false,clip_na0_to_n0,DE1 0 offwind-ac,100.0,0.849464577199084,0.0,0.0,0.0,914.5102575728605,0.0,0.0,0.0,0.0,914.5102575728605,-914.5102575728605,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,8,1,true,56,56,0.015000000000000003,66,212,0.0,false,clip_na0_to_n0,DE1 0 offwind-dc,100.0,0.8797956499728905,0.0,0.0,0.0,5868.613041993922,0.0,0.0,0.0,0.0,5868.613041993922,-5868.613041993922,0.0,0.0,gfl
4.3,1.0,oil,757416.1481337658,8,1,true,57,57,147.79272494562747,44,44,1.0,false,clip_na0_to_n0,DE1 0 oil,20.0,1.0000000000000002,4.0,0.0,0.0,881.1000000000001,0.0,10.0,-10.0,0.0,881.1000000000001,-881.1000000000001,0.0,0.0,gfm
0.0,0.0,onwind,4.804294400998315e6,8,1,true,58,58,0.015000000000000001,1087,9784,1.0,false,clip_na0_to_n0,DE1 0 onwind,50.0,0.1739954469908403,0.0,0.0,0.0,9459.085650013909,0.0,0.0,0.0,0.0,9459.085650013909,-9459.085650013909,0.0,0.0,gfl
2.7,2.5,ror,1.4957011246461473e7,8,1,true,59,59,0.0,51,51,1.0,false,clip_na0_to_n0,DE1 0 ror,50.0,0.9221653824096617,15.0,0.0,0.0,2353.092495548765,0.0,25.0,-25.0,0.0,2353.092495548765,-2353.092495548765,0.0,0.0,gfm
0.0,0.0,solar,1.7801035621902226e6,8,1,true,60,60,0.010000000000000002,1074,21583,1.0,false,clip_na0_to_n0,DE1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
4.0,15.0,CCGT,2.970831878794573e7,9,1,true,61,61,42.246743185547565,1,1,1.0,false,clip_na0_to_n0,DK1 0 CCGT,300.0,1.0,150.0,0.45,0.0,500.2,225.09,150.0,-150.0,0.0,500.2,-500.2,0.0,16.5,gfm
4.0,15.0,OCGT,1.352863245453675e7,9,1,true,62,62,53.39878480712948,0,0,0.0,true,clip_na0_to_n0,DK1 0 OCGT,300.0,1.0,150.0,0.2,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,21.0,gfm
3.3,2.5,biomass,1.3904153267802231e7,9,1,true,63,63,14.893617021276603,2,2,1.0,false,clip_na0_to_n0,DK1 0 biomass,50.0,1.0,25.0,0.0,0.0,124.0,0.0,25.0,-25.0,0.0,124.0,-124.0,0.0,3.5,gfm
4.2,15.0,coal,1.0499296608895715e8,9,1,true,64,64,28.196531007679717,3,3,1.0,false,clip_na0_to_n0,DK1 0 coal,300.0,1.0,120.0,0.32499999999999996,0.0,1156.8568108887498,375.97846353884364,150.0,-150.0,0.0,1156.8568108887498,-1156.8568108887498,0.0,30.0,gfm
0.0,0.0,offwind-ac,1.8938226140537657e7,9,1,true,65,65,0.015000000000000005,4,133,1.0,false,clip_na0_to_n0,DK1 0 offwind-ac,100.0,0.884841460724771,0.0,0.0,0.0,399.5449168389687,0.0,0.0,0.0,0.0,399.5449168389687,-399.5449168389687,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,9,1,true,66,66,0.015000000000000003,9,242,0.0,false,clip_na0_to_n0,DK1 0 offwind-dc,100.0,0.8855000000000001,0.0,0.0,0.0,832.5424751124319,0.0,0.0,0.0,0.0,832.5424751124319,-832.5424751124319,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,9,1,true,67,67,0.015000000000000001,75,1237,1.0,false,clip_na0_to_n0,DK1 0 onwind,50.0,0.7689368485665921,0.0,0.0,0.0,2904.1382916681187,0.0,0.0,0.0,0.0,2904.1382916681187,-2904.1382916681187,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,9,1,true,68,68,0.010000000000000002,20,2303,1.0,false,clip_na0_to_n0,DK1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
4.0,15.0,CCGT,2.970831878794573e7,10,1,true,69,69,42.246743185547565,2,2,1.0,false,clip_na0_to_n0,DK2 0 CCGT,300.0,1.0,150.0,0.45,0.0,748.0,336.6,150.0,-150.0,0.0,748.0,-748.0,0.0,16.5,gfm
4.0,15.0,OCGT,1.352863245453675e7,10,1,true,70,70,53.39878480712948,0,0,0.0,true,clip_na0_to_n0,DK2 0 OCGT,300.0,1.0,150.0,0.2,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,21.0,gfm
3.3,2.5,biomass,1.3904153267802231e7,10,1,true,71,71,14.893617021276603,1,1,1.0,false,clip_na0_to_n0,DK2 0 biomass,50.0,1.0,25.0,0.0,0.0,70.0,0.0,25.0,-25.0,0.0,70.0,-70.0,0.0,3.5,gfm
0.0,0.0,offwind-ac,1.8938226140537657e7,10,1,true,72,72,0.015000000000000005,2,70,1.0,false,clip_na0_to_n0,DK2 0 offwind-ac,100.0,0.8815162493242118,0.0,0.0,0.0,197.14933897108284,0.0,0.0,0.0,0.0,197.14933897108284,-197.14933897108284,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,10,1,true,73,73,0.015000000000000003,1,25,0.0,false,clip_na0_to_n0,DK2 0 offwind-dc,100.0,0.8855000000000001,0.0,0.0,0.0,75.63335173237799,0.0,0.0,0.0,0.0,75.63335173237799,-75.63335173237799,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,10,1,true,74,74,0.015000000000000001,15,233,1.0,false,clip_na0_to_n0,DK2 0 onwind,50.0,0.7213119627784026,0.0,0.0,0.0,546.2763163259219,0.0,0.0,0.0,0.0,546.2763163259219,-546.2763163259219,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,10,1,true,75,75,0.010000000000000002,5,583,1.0,false,clip_na0_to_n0,DK2 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
4.0,15.0,CCGT,2.970831878794573e7,11,1,true,76,76,42.246743185547565,0,0,0.0,true,clip_na0_to_n0,EE6 0 CCGT,300.0,1.0,150.0,0.45,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,16.5,gfm
